id,NOTE,Latitude,Longitude,EXPORTStra,EXPORTNc,EXPORTTipo,EXPORTMisu,EXPORTUtil,EXPORTfacc,EXPORTInte,EXPORTSche,Area_m2,ORIG_FID,icon_url
"2",,45.593458,10.224841,VIA SANGERVASIO,"0",Stendardo,100cm x 90cm,Funebre,monofacciale,Esistente da mantenere,,1974.372230,"422",./0.png
"2",,45.593458,10.224841,VIA SANGERVASIO,"0",Stendardo,100cm x 90cm,Funebre,monofacciale,Esistente da mantenere,,23666.737530,"639",./0.png
"3",,45.594067,10.224520,VIA SANGERVASIO,"0",Stendardo,200cm x 140cm,Commerciale,bifacciale,Esistente da mantenere,,1489.622956,"420",./0.png
"3",,45.594067,10.224520,VIA SANGERVASIO,"0",Stendardo,200cm x 140cm,Commerciale,bifacciale,Esistente da mantenere,,23666.737530,"639",./0.png
"39",,45.615132,10.201975,VIA DON CATTINA,"0",Stendardo,100cm x 90cm,Funebre,monofacciale,Esistente da mantenere,,28486.665283,"641",./0.png
"40",,45.615075,10.201988,VIA DON CATTINA,"0",Stendardo,140cm x 200cm,Commerciale,monofacciale,Esistente da mantenere,,28486.665283,"641",./0.png
"42",,45.609472,10.201500,VIA MAZZINI,Fronte n.c.54,Stendardo,140cm x 200cm,Commerciale,bifacciale,Esistente da mantenere,,4792.453492,"205",./0.png
"43",,45.609463,10.201558,VIA MAZZINI,Fronte n.c.54,Stendardo,100cm x 90cm,Funebre,bifacciale,Esistente da mantenere,,4792.453492,"205",./0.png
"45",,45.610465,10.198668,VIA SORLINI,Fronte n.c.186,Stendardo,140cm x 200cm,Commerciale,bifacciale,Esistente da mantenere,,0.000000,"668",./0.png
"46",,45.610925,10.194923,VIA GALILEI,Lato n.c.41,Stendardo,100cm x 90cm,Funebre,monofacciale,Esistente da mantenere,,819.016811,"97",./0.png
"46",,45.610925,10.194923,VIA GALILEI,Lato n.c.41,Stendardo,100cm x 90cm,Funebre,monofacciale,Esistente da mantenere,,676.709921,"107",./0.png
"46",,45.610925,10.194923,VIA GALILEI,Lato n.c.41,Stendardo,100cm x 90cm,Funebre,monofacciale,Esistente da mantenere,,739.909974,"108",./0.png
